info:    Executing command vm image list
info:    Fetching VM images
data:    Name                                                                                                                Category                                   OS     
data:    ------------------------------------------------------------------------------------------------------------------  -----------------------------------------  -------
data:    0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.2-x64-v5.8.8.1                                                RightScale with Linux                      Linux  
data:    0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.3-x64-v5.8.8                                                  RightScale with Linux                      Linux  
data:    0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.3-x64-v5.8.8.5                                                RightScale with Linux                      Linux  
data:    0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.3-x64-v5.8.8.6                                                RightScale with Linux                      Linux  
data:    0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.3-x64-v5.8.8.7                                                RightScale with Linux                      Linux  
data:    0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.3-x64-v5.8.8.8                                                RightScale with Linux                      Linux  
data:    0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.3-x64-v5.8.8.9                                                RightScale with Linux                      Linux  
data:    0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.4-x64-v13.4                                                   RightScale with Linux                      Linux  
data:    0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.4-x64-v13.5.0.1                                               RightScale with Linux                      Linux  
data:    0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.4-x64-v13.5.0.2                                               RightScale with Linux                      Linux  
data:    0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.5-x64-v13.5.2                                                 RightScale with Linux                      Linux  
data:    0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v13.4                                                 RightScale with Linux                      Linux  
data:    0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v13.5.0.1                                             RightScale with Linux                      Linux  
data:    0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v13.5.2                                               RightScale with Linux                      Linux  
data:    0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v5.8.8                                                RightScale with Linux                      Linux  
data:    0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v5.8.8.5                                              RightScale with Linux                      Linux  
data:    0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v5.8.8.7                                              RightScale with Linux                      Linux  
data:    0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v5.8.8.8                                              RightScale with Linux                      Linux  
